iter	MAPE
0	0.3383204621
1	0.3346133758
2	0.3308906937
3	0.3272273709
4	0.3236923945
5	0.320145403
6	0.3166906133
7	0.3133158311
8	0.3099478323
9	0.3066401078
10	0.3034139425
11	0.3002303472
12	0.2972117402
13	0.2941273885
14	0.2912053199
15	0.2882111011
16	0.2853443137
17	0.2824439875
18	0.2796652841
19	0.2769016392
20	0.2741762079
21	0.2715830219
22	0.2690282881
23	0.2664930489
24	0.2640116389
25	0.2615650208
26	0.2591539108
27	0.2567380664
28	0.254356457
29	0.2520022197
30	0.2496852211
31	0.2474666506
32	0.2452845232
33	0.2432607798
34	0.2411091874
35	0.2391703253
36	0.2371068566
37	0.2350819197
38	0.2332007061
39	0.2312583628
40	0.2293823809
41	0.2274833436
42	0.2256295816
43	0.2237271228
44	0.2219538061
45	0.2202366061
46	0.2185382046
47	0.2168907676
48	0.2151867364
49	0.2135188699
50	0.2118904501
51	0.2103356326
52	0.2088906416
53	0.2074230129
54	0.2058740238
55	0.2044361543
56	0.2029875428
57	0.2015527169
58	0.2002801739
59	0.1989244405
60	0.197591484
61	0.1963762513
62	0.1951681401
63	0.193970572
64	0.1926838258
65	0.1914096317
66	0.1902623518
67	0.1891312644
68	0.1880339146
69	0.1869370423
70	0.1858108087
71	0.184820401
72	0.1839296746
73	0.1830849397
74	0.1821995445
75	0.1812449632
76	0.1803941213
77	0.1796685424
78	0.1789465045
79	0.1781186782
80	0.1773933977
81	0.1766708425
82	0.1760749826
83	0.1753993339
84	0.1747821493
85	0.1741965142
86	0.1736478791
87	0.1731074596
88	0.1725345954
89	0.172050233
90	0.1714622705
91	0.1709282762
92	0.1704507767
93	0.1700011267
94	0.1695785305
95	0.1692007918
96	0.1688155935
97	0.1684523366
98	0.168130098
99	0.1677717944
100	0.1674453784
101	0.167070007
102	0.1667332966
103	0.1663626596
104	0.1660034906
105	0.1655726489
106	0.1653305672
107	0.164960328
108	0.1646443357
109	0.1643000562
110	0.1640060849
111	0.1637412163
112	0.1634475632
113	0.163190403
114	0.1629144542
115	0.1626535542
116	0.1623456084
117	0.1620312273
118	0.1617317756
119	0.1613751926
120	0.1611215434
121	0.1609350214
122	0.1606183328
123	0.1603404744
124	0.160089441
125	0.1598105582
126	0.1595570979
127	0.159250465
128	0.1590302849
129	0.1587564249
130	0.1585475238
131	0.1582756033
132	0.1580514845
133	0.1577933594
134	0.1575685344
135	0.1573456489
136	0.1571618025
137	0.1569222869
138	0.1567378038
139	0.1565668278
140	0.1563579964
141	0.1561750849
142	0.1559035125
143	0.1556969687
144	0.1554983222
145	0.1553217663
146	0.1551160381
147	0.1549498661
148	0.1547544721
149	0.1545528218
150	0.1542857949
151	0.1540912463
152	0.1538872785
153	0.1537149995
154	0.1535046264
155	0.1533104856
156	0.1531646935
157	0.1530039721
158	0.1528045995
159	0.1526234982
160	0.1524925757
161	0.1522978282
162	0.1521446957
163	0.1519322836
164	0.1517052704
165	0.1515139146
166	0.1513546552
167	0.1511798499
168	0.15103735
169	0.1508779614
170	0.1506934584
171	0.1505859196
172	0.1504677582
173	0.1503024813
174	0.1501836734
175	0.1500126278
176	0.1498606391
177	0.1497669156
178	0.1496175528
179	0.1494532308
180	0.1493014411
181	0.1491772423
182	0.1489915359
183	0.1488447193
184	0.1487450778
185	0.1485707201
186	0.1483878881
187	0.1482084876
188	0.1480785797
189	0.1479780629
190	0.1478372041
191	0.1477001149
192	0.1475804317
193	0.1474668456
194	0.1473472917
195	0.1472550999
196	0.1470709152
197	0.1469797181
198	0.1468544749
199	0.1467203696
200	0.1466275314
201	0.146438851
202	0.1463262694
203	0.1462422336
204	0.1461330437
205	0.146011769
206	0.1459073732
207	0.1458210497
208	0.1456759837
209	0.145568793
210	0.1454902474
211	0.1453543916
212	0.1452271691
213	0.1451174222
214	0.1450033089
215	0.1448699795
216	0.1447674535
217	0.1446707859
218	0.1445815183
219	0.1444259093
220	0.1442987365
221	0.1441986375
222	0.1440262889
223	0.1438973059
224	0.1437606047
225	0.1436812237
226	0.1435687515
227	0.1434466116
228	0.1433709504
229	0.1433063297
230	0.1432127255
231	0.1430852345
232	0.1429657502
233	0.1428761842
234	0.1428126575
235	0.1426955902
236	0.1426052086
237	0.1425026728
238	0.1424225458
239	0.1423134056
240	0.142228763
241	0.1421388489
242	0.1420627104
243	0.1419724283
244	0.1418977817
245	0.1417968869
246	0.1417282777
247	0.1416419741
248	0.1415549842
249	0.1414273241
250	0.1413461229
251	0.1412557911
252	0.1411988687
253	0.1411306176
254	0.141039311
255	0.1409802701
256	0.1408913506
257	0.1407774959
258	0.1407010988
259	0.1406112642
260	0.1405216485
261	0.1404353648
262	0.1403410545
263	0.1402475896
264	0.1401706852
265	0.1400860526
266	0.1400054482
267	0.1399005252
268	0.1398201495
269	0.1397620535
270	0.1397051212
271	0.1396332098
272	0.1395250841
273	0.1394155063
274	0.1393582259
275	0.1392830123
276	0.1391813716
277	0.1391184715
278	0.1390554024
279	0.1389717643
280	0.1389087748
281	0.1388225408
282	0.1387445622
283	0.1386840691
284	0.1386219448
285	0.1385568765
286	0.1384873224
287	0.1384075932
288	0.1383142377
289	0.1382297245
290	0.1381495378
291	0.1380831466
292	0.1380295065
293	0.137977418
294	0.1378945955
295	0.1378031298
296	0.1377195117
297	0.1376656528
298	0.1375838449
299	0.1375063835
300	0.1374345716
301	0.1373624613
302	0.1372996109
303	0.1372427482
304	0.137182106
305	0.1370998604
306	0.137023692
307	0.1369171876
308	0.1368524475
309	0.1368198337
310	0.1367296411
311	0.1366832916
312	0.1366103259
313	0.1365252159
314	0.1364448403
315	0.136385113
316	0.1363293941
317	0.1362664642
318	0.1361922354
319	0.1361432501
320	0.1360705729
321	0.1360284803
322	0.1359417888
323	0.1358902871
324	0.1358318927
325	0.1357789488
326	0.1357111651
327	0.1356662877
328	0.1355845792
329	0.1355217786
330	0.1354720772
331	0.1354195909
332	0.1353807707
333	0.1353313676
334	0.1352817856
335	0.135234889
336	0.1351711137
337	0.1351299462
338	0.1350657033
339	0.1350168076
340	0.1349633763
341	0.1348862631
342	0.1348369893
343	0.1347701505
344	0.1347185295
345	0.1346661128
346	0.1346326238
347	0.1345679135
348	0.1344945897
349	0.1344551827
350	0.1344194558
351	0.1343733648
352	0.1343141051
353	0.1342521797
354	0.1342231864
355	0.1341487189
356	0.1341015736
357	0.1340138875
358	0.1339320697
359	0.1338620381
360	0.133810059
361	0.1337729894
362	0.1337178175
363	0.1336826078
364	0.1336386354
365	0.1335993279
366	0.1335611442
367	0.1335323498
368	0.133486985
369	0.1334377411
370	0.1333869854
371	0.1333564007
372	0.1333095141
373	0.1332909643
374	0.1332338629
375	0.1332073561
376	0.1331438493
377	0.1331126181
378	0.1330825705
379	0.1330242556
380	0.1329470926
381	0.1328839936
382	0.1328225954
383	0.1328021857
384	0.1327460889
385	0.1327091087
386	0.1326752318
387	0.1326164097
388	0.132573422
389	0.1325120039
390	0.132440003
391	0.132428346
392	0.1323881831
393	0.1323447975
394	0.1322950862
395	0.1322700714
396	0.1322507955
397	0.1322135866
398	0.1321665906
399	0.1321185204
400	0.132037538
401	0.131995535
402	0.1319606038
403	0.1319091916
404	0.1318570832
405	0.131822341
406	0.1318109625
407	0.1317638371
408	0.1317247384
409	0.1316840085
410	0.1316331733
411	0.1315685326
412	0.1315359785
413	0.1315001024
414	0.1314454677
415	0.1314169816
416	0.1313590845
417	0.1312867056
418	0.1312342591
419	0.1311714087
420	0.1311203447
421	0.1310704941
422	0.131017033
423	0.1309788294
424	0.1309319428
425	0.130907117
426	0.1308883882
427	0.1308502742
428	0.1307950924
429	0.1307717784
430	0.1307402886
431	0.1306953415
432	0.1306692425
433	0.1306328193
434	0.1306133943
435	0.1305858432
436	0.130557019
437	0.1305054676
438	0.130443582
439	0.1303850384
440	0.1303645093
441	0.1303426276
442	0.1303062542
443	0.130282234
444	0.130262789
445	0.1302351186
446	0.1302011322
447	0.1301595669
448	0.1301340746
449	0.1300641227
450	0.1300415845
451	0.1300152667
452	0.1299702301
453	0.1299406698
454	0.1299126413
455	0.1298844835
456	0.1298081062
457	0.1297683212
458	0.1297139451
459	0.1296808241
460	0.1296622146
461	0.129621992
462	0.1295874387
463	0.1295420043
464	0.1294679147
465	0.1294194168
466	0.129393646
467	0.1293720726
468	0.1293543882
469	0.129326489
470	0.1292771456
471	0.1292185224
472	0.1291599788
473	0.1291317911
474	0.1291047771
475	0.1290631023
476	0.1290245706
477	0.1290002222
478	0.128950849
479	0.1289312449
480	0.1288700158
481	0.1288289179
482	0.1287749496
483	0.1287491987
484	0.1286678881
485	0.1286410233
486	0.1286092053
487	0.1285720262
488	0.1285462754
489	0.1285271189
490	0.1285011194
491	0.1284717581
492	0.1284425559
493	0.1284172825
494	0.1283600418
495	0.1283272092
496	0.1282780947
497	0.128256193
498	0.1281994894
499	0.1281760561
500	0.1281356246
501	0.1281011409
502	0.1280550998
503	0.1280373457
504	0.1280146981
505	0.1279986946
506	0.1279657625
507	0.1279492319
508	0.1279252415
509	0.1278766541
510	0.127811347
511	0.1277578362
512	0.1277179617
513	0.1276858154
514	0.1276509737
515	0.1275999395
516	0.12758505
517	0.1275497806
518	0.1275321757
519	0.1274933853
520	0.1274703996
521	0.1274443006
522	0.1273704696
523	0.1273598271
524	0.1273067241
525	0.1272900542
526	0.127266213
527	0.1272446595
528	0.1272108025
529	0.127141686
530	0.1270765281
531	0.1269963514
532	0.1269623452
533	0.1269468589
534	0.1269239924
535	0.1268789956
536	0.126838027
537	0.1268038119
538	0.1267719939
539	0.1267423839
540	0.1267212481
541	0.1266954873
542	0.1266846658
543	0.1266373217
544	0.126599327
545	0.1265694882
546	0.126514953
547	0.1264985217
548	0.1264735368
549	0.1264446827
550	0.1264056536
551	0.1263555046
552	0.1263279535
553	0.1263094237
554	0.1263028094
555	0.1262647252
556	0.1262459069
557	0.1262109061
558	0.126187413
559	0.126175199
560	0.1261545407
561	0.1261308089
562	0.1261029196
563	0.126099707
564	0.1260816048
565	0.1260661583
566	0.1260326991
567	0.1259958682
568	0.1259704157
569	0.1259532584
570	0.1259230915
571	0.1258949436
572	0.1258782438
573	0.1258576054
574	0.1258465352
575	0.1258329685
576	0.1258092169
577	0.1257812182
578	0.12575868
579	0.1257401899
580	0.1257172538
581	0.12570316
582	0.1256784535
583	0.1256668761
584	0.1256265341
585	0.1256047419
586	0.1255738886
587	0.1255442786
588	0.1255219294
589	0.1255131469
590	0.1255095563
591	0.1254908772
592	0.1254491726
593	0.1254213629
594	0.1254040564
595	0.1253837462
596	0.1253623319
597	0.1253057875
598	0.1252765555
599	0.1252567027
600	0.1252303551
601	0.1252006059
602	0.1251754916
603	0.1251397945
604	0.1251145808
605	0.1250951458
606	0.1250779388
607	0.1250686788
608	0.1250357369
609	0.1250224686
610	0.1250051024
611	0.1249662225
612	0.1249407303
613	0.1249121249
614	0.1248701418
615	0.1248633286
616	0.1248481506
617	0.1248441323
618	0.1248038102
619	0.1247876177
620	0.1247549244
621	0.1247319784
622	0.1247051335
623	0.1246854698
624	0.1246609523
625	0.1246138966
626	0.1245865742
627	0.1245783586
628	0.124559968
629	0.1245535825
630	0.1245385438
631	0.124505194
632	0.124486873
633	0.1244569845
634	0.1244447009
635	0.124415081
636	0.1244035036
637	0.1243882162
638	0.1243787772
639	0.124353285
640	0.124318294
641	0.1242909717
642	0.1242658176
643	0.1242473475
644	0.1242385251
645	0.1242136496
646	0.1241948512
647	0.1241867748
648	0.1241479049
649	0.1241105169
650	0.1240977857
651	0.1240873819
652	0.1240637596
653	0.1240470101
654	0.1240345872
655	0.1240340203
656	0.1240185937
657	0.1239921864
658	0.123979117
659	0.1239633423
660	0.1239240546
661	0.1239147747
662	0.1238930422
663	0.1238629747
664	0.1238165356
665	0.1237910633
666	0.1237764125
667	0.1237599415
668	0.1237283721
669	0.1236959075
670	0.1236765521
671	0.1236548395
672	0.123646783
673	0.1236434411
674	0.1236261445
675	0.1235860114
676	0.1235707638
677	0.1235493495
678	0.1235330775
679	0.1235252299
680	0.1234986734
681	0.1234927952
682	0.1234780847
683	0.1234586298
684	0.1234155228
685	0.1234021451
686	0.1233800942
687	0.1233526127
688	0.1233375442
689	0.1233225253
690	0.1232940691
691	0.1232845804
692	0.1232569497
693	0.1231991222
694	0.1231863115
695	0.1231682491
696	0.1231589095
697	0.1231440399
698	0.1231071692
699	0.1230949253
700	0.1230521764
701	0.1230347008
702	0.12299229
703	0.122958423
704	0.1229481684
705	0.1229134958
706	0.1228913555
707	0.1228794398
708	0.1228734025
709	0.1228700009
710	0.1228635756
711	0.1228401323
712	0.1227961301
713	0.122770797
714	0.122760801
715	0.1227441311
716	0.1227114576
717	0.1226983485
718	0.1226577678
719	0.1226351102
720	0.1226161229
721	0.122604436
722	0.1225909489
723	0.1225823553
724	0.1225714045
725	0.1225621147
726	0.1225477424
727	0.1225398451
728	0.1225044066
729	0.1224801875
730	0.1224757415
731	0.1224613393
732	0.122453999
733	0.1224270844
734	0.1224061774
735	0.1223762193
736	0.1223634483
737	0.1223551432
738	0.1223325652
739	0.1223161539
740	0.1222814216
741	0.1222684517
742	0.1222411194
743	0.1222280898
744	0.1222209584
745	0.1221969979
746	0.1221867433
747	0.1221751062
748	0.122137947
749	0.1221159658
750	0.1220978835
751	0.1220829243
752	0.1220536227
753	0.122048023
754	0.1220284487
755	0.1220145638
756	0.1219934877
757	0.1219736847
758	0.1219566468
759	0.1219433188
760	0.1219069255
761	0.121889808
762	0.1218811846
763	0.1218770768
764	0.1218699453
765	0.1218559808
766	0.1218537628
767	0.1218527483
768	0.1218229791
769	0.1218055235
770	0.1217917579
771	0.1217529575
772	0.1217453288
773	0.121720304
774	0.1217148236
775	0.1216865265
776	0.1216405848
777	0.1216315934
778	0.1216121883
779	0.1215984426
780	0.1215867955
781	0.1215709611
782	0.1215486616
783	0.1215214685
784	0.1215079615
785	0.1215043113
786	0.1214818924
787	0.1214779338
788	0.1214594835
789	0.121447359
790	0.1214312362
791	0.1214180673
792	0.1214018351
793	0.1213875721
794	0.1213805302
795	0.1213669735
796	0.1213565796
797	0.1213340613
798	0.1213134925
799	0.1213115729
800	0.1212891341
801	0.1212729615
802	0.1212690029
803	0.1212606779
804	0.1212524822
805	0.121241591
806	0.1212354343
807	0.1212092956
808	0.1211641893
809	0.1211474498
810	0.121135206
811	0.1210881403
812	0.1210587293
813	0.1210499766
814	0.121039722
815	0.1209899708
816	0.1209575461
817	0.120944238
818	0.1209406573
819	0.1209312979
820	0.1209279659
821	0.1209221175
822	0.1209019366
823	0.1208945863
824	0.1208670352
825	0.1208652349
826	0.1208538465
827	0.1208284636
828	0.1208090386
829	0.1207860628
830	0.1207580542
831	0.1207106006
832	0.1207009527
833	0.1206876546
834	0.1206765745
835	0.1206612772
836	0.1206512911
837	0.1206282854
838	0.1206189758
839	0.1206147685
840	0.1206076768
841	0.1205932548
842	0.1205872771
843	0.1205799765
844	0.1205731037
845	0.1205679813
846	0.1205530918
847	0.1205459305
848	0.1205181805
849	0.1204899331
850	0.1204761377
851	0.1204601143
852	0.1204553003
853	0.1204191755
854	0.1204057282
855	0.120387079
856	0.1203755811
857	0.1203571109
858	0.1203523268
859	0.1203410577
860	0.1203360845
861	0.1203282469
862	0.1203248055
863	0.1202881237
864	0.1202776702
865	0.1202649987
