iter	Passed	Remaining
0	13	41209
1	27	40991
2	40	40362
3	53	39912
4	66	39767
5	79	39537
6	92	39370
7	105	39286
8	117	39205
9	130	39156
10	144	39149
11	157	39128
12	170	39138
13	183	39150
14	196	39195
15	210	39270
16	223	39287
17	237	39326
18	250	39333
19	264	39336
20	277	39329
21	290	39320
22	303	39340
23	317	39362
24	330	39356
25	344	39381
26	357	39396
27	371	39408
28	384	39394
29	397	39400
30	411	39394
31	425	39437
32	438	39443
33	451	39411
34	465	39427
35	478	39418
36	491	39390
37	504	39357
38	518	39340
39	531	39316
40	544	39288
41	557	39261
42	570	39237
43	583	39211
44	596	39188
45	609	39167
46	623	39145
47	636	39118
48	649	39101
49	662	39088
50	675	39074
51	688	39050
52	702	39051
53	715	39024
54	728	39013
55	743	39063
56	756	39072
57	770	39085
58	784	39106
59	798	39113
60	812	39126
61	825	39133
62	839	39125
63	852	39125
64	866	39135
65	880	39140
66	894	39145
67	907	39147
68	921	39146
69	935	39139
70	948	39129
71	962	39135
72	976	39133
73	989	39134
74	1003	39124
75	1017	39129
76	1030	39124
77	1044	39119
78	1057	39116
79	1070	39090
80	1083	39060
81	1097	39045
82	1110	39010
83	1123	38984
84	1136	38974
85	1150	38973
86	1163	38968
87	1177	38963
88	1191	38957
89	1204	38957
90	1218	38947
91	1231	38924
92	1244	38901
93	1257	38876
94	1270	38858
95	1284	38843
96	1297	38822
97	1310	38806
98	1323	38794
99	1337	38773
100	1350	38762
101	1364	38768
102	1378	38776
103	1392	38772
104	1405	38760
105	1419	38744
106	1432	38735
107	1446	38721
108	1458	38696
109	1472	38679
110	1485	38658
111	1498	38645
112	1512	38643
113	1525	38619
114	1539	38609
115	1552	38593
116	1565	38581
117	1578	38563
118	1592	38547
119	1605	38527
120	1618	38506
121	1632	38499
122	1645	38482
123	1658	38462
124	1671	38445
125	1684	38424
126	1697	38400
127	1710	38383
128	1724	38370
129	1737	38350
130	1750	38345
131	1763	38324
132	1776	38305
133	1790	38287
134	1803	38276
135	1817	38269
136	1830	38252
137	1843	38233
138	1857	38223
139	1871	38223
140	1884	38204
141	1897	38181
142	1910	38176
143	1923	38157
144	1936	38137
145	1949	38117
146	1963	38099
147	1975	38076
148	1988	38056
149	2002	38041
150	2015	38026
151	2028	38009
152	2041	37992
153	2055	37985
154	2069	37977
155	2082	37959
156	2096	37955
157	2109	37950
158	2123	37934
159	2136	37929
160	2150	37923
161	2163	37900
162	2176	37879
163	2189	37857
164	2202	37843
165	2217	37861
166	2230	37846
167	2244	37829
168	2257	37812
169	2271	37811
170	2284	37794
171	2298	37791
172	2311	37775
173	2325	37764
174	2338	37745
175	2351	37730
176	2364	37718
177	2378	37710
178	2391	37693
179	2405	37680
180	2419	37675
181	2432	37661
182	2446	37652
183	2459	37643
184	2472	37626
185	2486	37617
186	2499	37605
187	2513	37596
188	2527	37584
189	2540	37579
190	2553	37559
191	2569	37580
192	2583	37580
193	2596	37560
194	2610	37549
195	2623	37531
196	2636	37517
197	2649	37501
198	2663	37494
199	2677	37479
200	2690	37464
201	2704	37456
202	2717	37444
203	2730	37426
204	2744	37421
205	2757	37403
206	2771	37399
207	2784	37379
208	2797	37364
209	2811	37349
210	2825	37347
211	2839	37337
212	2853	37338
213	2868	37346
214	2882	37340
215	2896	37337
216	2910	37332
217	2923	37313
218	2937	37298
219	2951	37295
220	2964	37281
221	2978	37272
222	2992	37260
223	3006	37254
224	3020	37248
225	3033	37231
226	3046	37217
227	3060	37205
228	3073	37191
229	3087	37186
230	3101	37173
231	3114	37155
232	3127	37138
233	3141	37132
234	3155	37124
235	3168	37105
236	3181	37087
237	3194	37069
238	3208	37064
239	3222	37063
240	3236	37050
241	3266	37229
242	3282	37243
243	3295	37227
244	3310	37231
245	3345	37458
246	3376	37634
247	3390	37618
248	3403	37597
249	3416	37578
250	3429	37557
251	3442	37540
252	3455	37518
253	3468	37494
254	3481	37476
255	3494	37452
256	3507	37437
257	3521	37425
258	3535	37420
259	3549	37406
260	3562	37389
261	3576	37372
262	3589	37352
263	3602	37337
264	3616	37321
265	3630	37310
266	3643	37290
267	3656	37269
268	3669	37254
269	3682	37238
270	3696	37226
271	3710	37209
272	3723	37191
273	3736	37177
274	3749	37158
275	3764	37151
276	3777	37135
277	3790	37117
278	3805	37109
279	3817	37087
280	3830	37064
281	3843	37045
282	3857	37031
283	3870	37012
284	3883	36995
285	3897	36982
286	3910	36962
287	3923	36943
288	3938	36945
289	3951	36923
290	3964	36903
291	3977	36889
292	3991	36879
293	4004	36862
294	4018	36843
295	4030	36823
296	4044	36807
297	4057	36791
298	4071	36778
299	4084	36761
300	4097	36741
301	4112	36736
302	4124	36715
303	4138	36701
304	4151	36685
305	4164	36665
306	4177	36648
307	4195	36666
308	4208	36653
309	4222	36641
310	4235	36624
311	4250	36618
312	4268	36647
313	4282	36628
314	4305	36701
315	4331	36792
316	4346	36790
317	4360	36773
318	4373	36755
319	4386	36738
320	4400	36721
321	4413	36705
322	4427	36692
323	4440	36677
324	4455	36672
325	4468	36653
326	4482	36639
327	4495	36620
328	4508	36600
329	4521	36581
330	4534	36567
331	4547	36546
332	4561	36531
333	4576	36533
334	4591	36526
335	4605	36513
336	4618	36493
337	4632	36484
338	4645	36466
339	4658	36446
340	4671	36428
341	4684	36408
342	4697	36389
343	4710	36372
344	4724	36355
345	4737	36335
346	4751	36330
347	4765	36313
348	4777	36291
349	4792	36283
350	4805	36264
351	4819	36252
352	4831	36231
353	4844	36214
354	4857	36193
355	4871	36179
356	4884	36158
357	4896	36137
358	4909	36118
359	4922	36099
360	4935	36078
361	4947	36056
362	4962	36048
363	4975	36030
364	4988	36010
365	5002	35998
366	5015	35980
367	5028	35967
368	5042	35953
369	5055	35934
370	5068	35917
371	5083	35908
372	5096	35894
373	5110	35885
374	5124	35869
375	5137	35850
376	5150	35833
377	5164	35821
378	5177	35803
379	5192	35798
380	5206	35789
381	5220	35780
382	5234	35769
383	5249	35761
384	5262	35746
385	5279	35750
386	5292	35734
387	5306	35720
388	5319	35704
389	5335	35704
390	5348	35690
391	5364	35689
392	5378	35681
393	5392	35666
394	5409	35676
395	5423	35665
396	5439	35667
397	5453	35655
398	5467	35640
399	5481	35632
400	5495	35619
